EventID,Time_UTC,Lat,Lon,Depth_km,MagType,Mag,Region
20260607_0000059,2026-06-07T04:43:18.0Z,9.02,126.39,26.0,m,3.8,MINDANAO, PHILIPPINES
20260607_0000211,2026-06-07T14:30:18.0Z,6.28,124.44,10.0,m,4.2,MINDANAO, PHILIPPINES
20260607_0000227,2026-06-07T15:06:02.0Z,5.01,126.24,24.0,m,3.8,MINDANAO, PHILIPPINES
20260607_0000250,2026-06-07T15:47:22.0Z,9.04,122.12,4.0,m,3.8,NEGROS, PHILIPPINES
20260607_0000285,2026-06-07T18:26:40.0Z,3.91,126.11,110.0,m,3.3,KEPULAUAN TALAUD, INDONESIA
20260607_0000291,2026-06-07T18:39:09.0Z,8.71,127.21,14.0,m,3.7,PHILIPPINE ISLANDS REGION
20260607_0000292,2026-06-07T18:49:44.0Z,8.63,127.03,3.0,m,4.0,PHILIPPINE ISLANDS REGION
20260607_0000328,2026-06-07T20:49:46.0Z,3.69,127.01,29.0,m,3.3,KEPULAUAN TALAUD, INDONESIA
20260607_0000365,2026-06-07T23:48:10.83Z,5.4863,125.2598,80.0,mb,6.0,MINDANAO, PHILIPPINES
20260607_0000368,2026-06-07T23:49:13.8Z,5.6272,125.1831,35.0,mb,6.0,MINDANAO, PHILIPPINES
20260607_0000370,2026-06-07T23:51:46.0Z,5.66,125.38,19.0,mb,4.9,MINDANAO, PHILIPPINES
20260608_0000004,2026-06-08T00:11:07.0Z,5.35,125.1,33.0,m,4.8,MINDANAO, PHILIPPINES
20260608_0000022,2026-06-08T00:18:21.0Z,5.52,125.34,44.0,m,5.3,MINDANAO, PHILIPPINES
20260608_0000014,2026-06-08T00:42:26.57Z,5.6238,125.3646,35.0,mb,4.8,MINDANAO, PHILIPPINES
20260608_0000016,2026-06-08T00:48:40.19Z,5.6176,125.2113,35.0,mb,4.9,MINDANAO, PHILIPPINES
20260608_0000025,2026-06-08T00:53:03.65Z,5.259,125.0798,35.0,mb,5.0,MINDANAO, PHILIPPINES
20260608_0000018,2026-06-08T00:55:12.62Z,5.4767,125.1956,69.6,mb,6.5,MINDANAO, PHILIPPINES
20260608_0000027,2026-06-08T00:58:19.87Z,5.3155,125.803,70.0,mb,5.8,MINDANAO, PHILIPPINES
20260608_0000031,2026-06-08T01:10:58.47Z,4.9217,125.1974,70.0,mb,5.1,KEPULAUAN SANGIHE, INDONESIA
20260608_0000040,2026-06-08T01:16:40.0Z,5.32,125.13,37.0,m,3.5,MINDANAO, PHILIPPINES
20260608_0000042,2026-06-08T01:19:31.0Z,5.67,125.37,12.0,m,3.7,MINDANAO, PHILIPPINES
20260608_0000030,2026-06-08T01:28:29.0Z,2.35,125.38,8.0,m,3.6,KEPULAUAN SANGIHE, INDONESIA
20260608_0000033,2026-06-08T01:32:51.0Z,5.05,126.0,88.0,m,4.2,MINDANAO, PHILIPPINES
20260608_0000039,2026-06-08T01:35:28.13Z,5.5033,125.2938,35.0,mb,5.2,MINDANAO, PHILIPPINES
20260608_0000038,2026-06-08T01:41:28.0Z,5.28,125.44,45.0,m,4.0,MINDANAO, PHILIPPINES
20260608_0000041,2026-06-08T01:46:24.79Z,5.1484,125.6426,60.0,mb,4.6,MINDANAO, PHILIPPINES
20260608_0000047,2026-06-08T01:57:20.0Z,5.34,125.26,34.0,m,4.3,MINDANAO, PHILIPPINES
20260608_0000063,2026-06-08T02:07:17.0Z,5.03,124.9,31.0,m,3.4,MINDANAO, PHILIPPINES
20260608_0000054,2026-06-08T02:12:28.81Z,5.7061,125.2132,60.0,mb,4.8,MINDANAO, PHILIPPINES
20260608_0000062,2026-06-08T02:21:14.0Z,5.45,125.41,29.0,m,3.3,MINDANAO, PHILIPPINES
20260608_0000061,2026-06-08T02:24:32.0Z,6.28,126.01,7.0,m,3.2,MINDANAO, PHILIPPINES
20260608_0000060,2026-06-08T02:31:49.0Z,5.28,125.3,29.0,m,3.0,MINDANAO, PHILIPPINES
20260608_0000071,2026-06-08T02:34:44.0Z,5.39,125.35,39.0,m,4.0,MINDANAO, PHILIPPINES
20260608_0000064,2026-06-08T02:38:08.415Z,4.9916,124.9784,60.2,mb,4.6,CELEBES SEA
20260608_0000058,2026-06-08T02:44:31.0Z,4.99,125.54,3.0,m,3.7,KEPULAUAN SANGIHE, INDONESIA
20260608_0000059,2026-06-08T02:51:15.0Z,5.31,125.24,10.0,m,3.8,MINDANAO, PHILIPPINES
20260608_0000067,2026-06-08T02:59:44.0Z,4.88,125.66,5.0,m,4.1,KEPULAUAN SANGIHE, INDONESIA
20260608_0000079,2026-06-08T03:06:21.83Z,4.8896,125.4354,70.0,mb,4.7,KEPULAUAN SANGIHE, INDONESIA
20260608_0000072,2026-06-08T03:14:03.0Z,5.19,126.23,145.0,m,3.7,MINDANAO, PHILIPPINES
20260608_0000085,2026-06-08T03:15:43.0Z,5.19,125.29,64.0,m,4.0,MINDANAO, PHILIPPINES
20260608_0000076,2026-06-08T03:20:08.0Z,5.5,125.41,10.0,m,3.6,MINDANAO, PHILIPPINES
20260608_0000075,2026-06-08T03:23:24.0Z,5.61,125.44,10.0,m,3.9,MINDANAO, PHILIPPINES
20260608_0000081,2026-06-08T03:26:56.01Z,5.3223,125.1716,57.0,mb,4.9,MINDANAO, PHILIPPINES
20260608_0000091,2026-06-08T03:44:19.0Z,6.17,126.18,4.0,m,3.0,MINDANAO, PHILIPPINES
20260608_0000084,2026-06-08T03:47:28.0Z,5.76,125.88,181.0,m,4.4,MINDANAO, PHILIPPINES
20260608_0000083,2026-06-08T03:49:51.0Z,5.65,125.47,10.0,m,3.6,MINDANAO, PHILIPPINES
20260608_0000088,2026-06-08T03:52:17.358Z,5.2058,124.9834,35.0,m,4.2,MINDANAO, PHILIPPINES
20260608_0000090,2026-06-08T04:04:18.0Z,5.28,125.05,27.0,m,3.5,MINDANAO, PHILIPPINES
20260608_0000089,2026-06-08T04:07:54.0Z,5.25,125.76,108.0,m,4.3,MINDANAO, PHILIPPINES
20260608_0000093,2026-06-08T04:17:58.0Z,5.41,125.4,10.0,m,3.5,MINDANAO, PHILIPPINES
20260608_0000097,2026-06-08T04:30:04.0Z,5.54,125.48,91.0,m,4.2,MINDANAO, PHILIPPINES
20260608_0000108,2026-06-08T04:43:00.31Z,5.1679,125.1687,35.0,mb,5.0,MINDANAO, PHILIPPINES
20260608_0000100,2026-06-08T04:44:33.09Z,4.8324,125.4123,55.0,mb,5.3,KEPULAUAN SANGIHE, INDONESIA
20260608_0000102,2026-06-08T04:46:43.27Z,4.987,125.3049,35.0,mb,5.7,KEPULAUAN SANGIHE, INDONESIA
20260608_0000109,2026-06-08T04:57:23.0Z,5.37,125.53,74.0,m,3.8,MINDANAO, PHILIPPINES
